trial_number,time,is_biased_choice,side_choice,RT,observed_reward,unobserved_reward,biased_reward,unbiased_reward,BLUE_RIGHT_LEFT_RED,RT_net,RT_zscore,subject_file,schedule
85,20:15.7,FALSE,RIGHT,3224,1,1,1,1,TRUE,1724,-0.094569399,1611166120_92.csv,schedule_7
86,20:17.9,FALSE,RIGHT,3561,1,0,0,1,TRUE,2061,-0.086734513,1611166120_92.csv,schedule_7
87,20:20.7,FALSE,RIGHT,2855,0,0,0,0,TRUE,1355,-0.10314825,1611166120_92.csv,schedule_7
88,20:23.4,TRUE,LEFT,2649,0,0,0,0,TRUE,1149,-0.107937528,1611166120_92.csv,schedule_7
89,20:26.3,TRUE,LEFT,2799,0,1,0,1,TRUE,1299,-0.10445019,1611166120_92.csv,schedule_7
90,20:28.5,TRUE,LEFT,2297,0,1,0,1,TRUE,797,-0.116121147,1611166120_92.csv,schedule_7
91,20:30.8,TRUE,LEFT,2303,0,1,0,1,TRUE,803,-0.115981654,1611166120_92.csv,schedule_7
92,20:35.1,TRUE,LEFT,3048,0,1,0,1,TRUE,1548,-0.098661209,1611166120_92.csv,schedule_7
93,20:36.0,TRUE,LEFT,2184,0,1,0,1,TRUE,684,-0.118748275,1611166120_92.csv,schedule_7
94,20:38.2,TRUE,LEFT,2192,0,1,0,1,TRUE,692,-0.118562284,1611166120_92.csv,schedule_7
95,20:40.7,FALSE,RIGHT,2512,1,0,0,1,TRUE,1012,-0.11112263,1611166120_92.csv,schedule_7
96,20:42.9,FALSE,RIGHT,2216,1,0,0,1,TRUE,716,-0.11800431,1611166120_92.csv,schedule_7
97,20:45.2,TRUE,LEFT,2250,0,1,0,1,TRUE,750,-0.117213847,1611166120_92.csv,schedule_7
98,20:48.2,FALSE,RIGHT,3007,1,0,0,1,TRUE,1507,-0.099614414,1611166120_92.csv,schedule_7
99,20:50.6,TRUE,LEFT,2335,0,1,0,1,TRUE,835,-0.115237688,1611166120_92.csv,schedule_7
0,12:04.3,FALSE,RIGHT,3922,0,1,1,0,FALSE,2422,0.025785501,1611166318_76.csv,schedule_7
1,12:08.1,FALSE,RIGHT,4624,0,1,1,0,FALSE,3124,0.202522675,1611166318_76.csv,schedule_7
2,12:14.1,TRUE,LEFT,5176,0,0,0,0,FALSE,3676,0.341495495,1611166318_76.csv,schedule_7
3,12:16.8,FALSE,RIGHT,3535,0,0,0,0,FALSE,2035,-0.071646531,1611166318_76.csv,schedule_7
4,12:23.8,TRUE,LEFT,6952,0,0,0,0,FALSE,5452,0.78862544,1611166318_76.csv,schedule_7
5,12:26.5,TRUE,LEFT,2768,0,0,0,0,FALSE,1268,-0.264748258,1611166318_76.csv,schedule_7
6,12:59.2,FALSE,RIGHT,31840,0,0,0,0,FALSE,30340,7.05448696,1611166318_76.csv,schedule_7
7,13:01.1,TRUE,LEFT,2744,0,0,0,0,FALSE,1244,-0.270790555,1611166318_76.csv,schedule_7
8,13:03.8,TRUE,LEFT,2601,0,0,0,0,FALSE,1101,-0.306792572,1611166318_76.csv,schedule_7
9,13:29.1,TRUE,LEFT,25392,0,0,0,0,FALSE,23892,5.431123287,1611166318_76.csv,schedule_7
10,13:33.3,FALSE,RIGHT,3256,0,0,0,0,FALSE,1756,-0.141888229,1611166318_76.csv,schedule_7
11,13:34.9,TRUE,LEFT,2512,0,0,0,0,FALSE,1012,-0.329199422,1611166318_76.csv,schedule_7
12,13:39.3,TRUE,LEFT,4456,1,0,1,0,FALSE,2956,0.160226599,1611166318_76.csv,schedule_7
13,13:42.2,FALSE,RIGHT,2872,0,1,1,0,FALSE,1372,-0.238564973,1611166318_76.csv,schedule_7
14,13:46.4,FALSE,RIGHT,2631,0,0,0,0,FALSE,1131,-0.299239701,1611166318_76.csv,schedule_7
15,13:47.2,FALSE,RIGHT,2337,0,0,0,0,FALSE,837,-0.373257834,1611166318_76.csv,schedule_7
16,13:49.5,FALSE,RIGHT,2336,0,0,0,0,FALSE,836,-0.373509596,1611166318_76.csv,schedule_7
17,13:52.8,TRUE,LEFT,3199,0,0,0,0,FALSE,1699,-0.156238683,1611166318_76.csv,schedule_7
18,13:55.8,TRUE,LEFT,3113,0,0,0,0,FALSE,1613,-0.177890246,1611166318_76.csv,schedule_7
19,13:58.6,FALSE,RIGHT,2744,0,0,0,0,FALSE,1244,-0.270790555,1611166318_76.csv,schedule_7
20,14:04.9,TRUE,LEFT,5367,0,0,0,0,FALSE,3867,0.389582105,1611166318_76.csv,schedule_7
21,14:06.6,TRUE,LEFT,2649,0,0,0,0,FALSE,1149,-0.294707979,1611166318_76.csv,schedule_7
22,14:12.6,FALSE,RIGHT,6064,0,1,1,0,FALSE,4564,0.565060467,1611166318_76.csv,schedule_7
23,14:16.9,TRUE,LEFT,3456,0,0,0,0,FALSE,1956,-0.091535757,1611166318_76.csv,schedule_7
24,14:18.6,FALSE,RIGHT,2489,0,0,0,0,FALSE,989,-0.334989956,1611166318_76.csv,schedule_7
25,14:27.3,FALSE,RIGHT,8735,0,0,0,0,FALSE,7235,1.237517721,1611166318_76.csv,schedule_7
26,14:31.8,TRUE,LEFT,3560,0,0,0,0,FALSE,2060,-0.065352472,1611166318_76.csv,schedule_7
27,14:37.1,TRUE,LEFT,6240,0,0,0,0,FALSE,4740,0.609370642,1611166318_76.csv,schedule_7
28,14:39.3,FALSE,RIGHT,2208,0,1,1,0,FALSE,708,-0.405735178,1611166318_76.csv,schedule_7
29,14:42.1,TRUE,LEFT,2752,1,0,1,0,FALSE,1252,-0.268776456,1611166318_76.csv,schedule_7
30,14:44.9,FALSE,RIGHT,2784,1,0,0,1,FALSE,1284,-0.260720061,1611166318_76.csv,schedule_7
31,14:47.0,TRUE,LEFT,2144,0,0,0,0,FALSE,644,-0.421847969,1611166318_76.csv,schedule_7
32,14:49.3,TRUE,LEFT,2344,0,0,0,0,FALSE,844,-0.371495497,1611166318_76.csv,schedule_7
33,14:53.5,FALSE,RIGHT,3152,0,0,0,0,FALSE,1652,-0.168071514,1611166318_76.csv,schedule_7
34,14:55.0,FALSE,RIGHT,2496,0,0,0,0,FALSE,996,-0.333227619,1611166318_76.csv,schedule_7
35,14:57.4,FALSE,RIGHT,2384,0,0,0,0,FALSE,884,-0.361425003,1611166318_76.csv,schedule_7
36,15:00.1,TRUE,LEFT,2696,0,0,0,0,FALSE,1196,-0.282875148,1611166318_76.csv,schedule_7
37,15:02.8,TRUE,LEFT,2736,0,0,0,0,FALSE,1236,-0.272804654,1611166318_76.csv,schedule_7
38,15:09.1,FALSE,RIGHT,6336,0,1,1,0,FALSE,4836,0.633539828,1611166318_76.csv,schedule_7
39,15:13.3,TRUE,LEFT,3232,0,0,0,0,FALSE,1732,-0.147930525,1611166318_76.csv,schedule_7
40,15:15.0,TRUE,LEFT,2608,0,0,0,0,FALSE,1108,-0.305030235,1611166318_76.csv,schedule_7
41,15:18.5,TRUE,LEFT,3488,1,0,1,0,FALSE,1988,-0.083479362,1611166318_76.csv,schedule_7
42,15:21.5,TRUE,LEFT,3040,0,0,0,0,FALSE,1540,-0.196268898,1611166318_76.csv,schedule_7
43,15:26.1,FALSE,RIGHT,3704,0,0,0,0,FALSE,2204,-0.029098693,1611166318_76.csv,schedule_7
44,15:28.0,TRUE,LEFT,2792,1,0,1,0,FALSE,1292,-0.258705962,1611166318_76.csv,schedule_7
45,15:30.8,FALSE,RIGHT,2792,0,0,0,0,FALSE,1292,-0.258705962,1611166318_76.csv,schedule_7
46,15:33.3,TRUE,LEFT,2536,1,0,1,0,FALSE,1036,-0.323157125,1611166318_76.csv,schedule_7
47,15:35.5,TRUE,LEFT,2192,0,1,0,1,FALSE,692,-0.409763376,1611166318_76.csv,schedule_7
48,15:51.4,FALSE,RIGHT,15848,1,0,0,1,FALSE,14348,3.02830336,1611166318_76.csv,schedule_7
49,15:53.9,FALSE,RIGHT,2448,0,0,0,0,FALSE,948,-0.345312212,1611166318_76.csv,schedule_7
50,15:56.2,TRUE,LEFT,2360,1,0,1,0,FALSE,860,-0.3674673,1611166318_76.csv,schedule_7
51,15:58.2,TRUE,LEFT,2056,1,1,1,1,FALSE,556,-0.444003056,1611166318_76.csv,schedule_7
52,16:00.6,TRUE,LEFT,2343,0,1,0,1,FALSE,843,-0.37174726,1611166318_76.csv,schedule_7
53,16:05.0,FALSE,RIGHT,3513,0,0,0,0,FALSE,2013,-0.077185303,1611166318_76.csv,schedule_7
54,16:06.4,FALSE,RIGHT,2328,0,0,0,0,FALSE,828,-0.375523695,1611166318_76.csv,schedule_7
55,16:08.9,TRUE,LEFT,2464,0,0,0,0,FALSE,964,-0.341284015,1611166318_76.csv,schedule_7
56,16:12.2,FALSE,RIGHT,3240,0,1,1,0,FALSE,1740,-0.145916426,1611166318_76.csv,schedule_7
57,16:15.2,TRUE,LEFT,3049,0,0,0,0,FALSE,1549,-0.194003036,1611166318_76.csv,schedule_7
58,16:20.0,TRUE,LEFT,4039,1,0,1,0,FALSE,2539,0.055241696,1611166318_76.csv,schedule_7
59,16:24.2,FALSE,RIGHT,5032,0,1,1,0,FALSE,3532,0.305241716,1611166318_76.csv,schedule_7
60,16:29.5,FALSE,RIGHT,4368,1,0,0,1,FALSE,2868,0.138071511,1611166318_76.csv,schedule_7
61,16:32.4,FALSE,RIGHT,3761,1,0,0,1,FALSE,2261,-0.014748239,1611166318_76.csv,schedule_7
62,16:34.8,FALSE,RIGHT,2463,0,1,1,0,FALSE,963,-0.341535777,1611166318_76.csv,schedule_7
63,16:38.5,FALSE,RIGHT,3584,0,0,0,0,FALSE,2084,-0.059310176,1611166318_76.csv,schedule_7
64,16:40.7,TRUE,LEFT,2280,0,0,0,0,FALSE,780,-0.387608288,1611166318_76.csv,schedule_7
65,16:43.5,TRUE,LEFT,2793,0,0,0,0,FALSE,1293,-0.2584542,1611166318_76.csv,schedule_7
66,16:45.8,FALSE,RIGHT,2303,0,1,1,0,FALSE,803,-0.381817754,1611166318_76.csv,schedule_7
