schedule,subject_id,n_trials,Ep_pub,Ep_fix,Elogp_pub,Elogp_fix
schedule_1,schedule_1/1613965372_29.csv,100,0.672360403562185,0.68682803150789,-0.587693176334863,-0.559393940948607
schedule_1,schedule_1/1613965698_9.csv,100,0.710021489378501,0.710008184211388,-0.478556431619702,-0.482839065100022
schedule_1,schedule_1/1613966356_90.csv,100,0.673117797420625,0.690603504635109,-0.572671859696162,-0.511484986914851
schedule_1,schedule_1/1613966648_32.csv,100,0.693922751787081,0.705417814861305,-0.529418316412566,-0.51016250550946
schedule_1,schedule_1/1613968039_15.csv,100,0.597981899751495,0.596116362277527,-0.740255612969742,-0.726660838106543
schedule_1,schedule_1/1613969343_27.csv,100,0.683981388434977,0.663596098354655,-0.534803537204602,-0.555104065132664
schedule_1,schedule_1/1613969540_62.csv,100,0.65973146835173,0.642313512380479,-0.548689629758454,-0.574438190925296
schedule_1,schedule_1/1613969919_44.csv,100,0.616496540975155,0.628469051272973,-0.736510423304167,-0.716481176045664
schedule_1,schedule_1/1613970255_70.csv,100,0.679251585053333,0.676473370858626,-0.576623056774323,-0.58361536676132
schedule_1,schedule_1/1613971551_11.csv,100,0.561137353612699,0.575671135349054,-0.833682058315762,-0.787084024161115
schedule_1,schedule_1/1613972420_84.csv,100,0.784308314896768,0.778504845958374,-0.325586185932957,-0.337579878515375
schedule_1,schedule_1/1613972878_41.csv,100,0.724912510438049,0.722091011535009,-0.478703154488765,-0.47890690234994
schedule_1,schedule_1/1613973122_40.csv,100,0.72516217436863,0.739583218856039,-0.455594498455981,-0.422865658839913
schedule_1,schedule_1/1613973892_40.csv,100,0.604021815958452,0.601284651356332,-0.717182516093217,-0.71316167454541
schedule_1,schedule_1/1613975435_48.csv,100,0.629589829897664,0.632459771302623,-0.677071615212655,-0.663526703919317
schedule_1,schedule_1/1613976104_75.csv,100,0.48670587370577,0.506744530077576,-1.0431536979621,-0.980659791887879
