diagram,split,stratum,n_bins,strategy,bin,lo,hi,n,predicted,empirical,gap,emp_lo,emp_hi,n_boot
doubled,training,all,20,uniform,10,0.5,0.55,2456,0.5178170143217502,0.5435667752442996,0.025749760922549436,0.5177531601178322,0.5660216278523033,500
doubled,training,all,20,uniform,11,0.55,0.6000000000000001,1760,0.5775419867637551,0.540340909090909,-0.03720107767284608,0.5127247381453024,0.5679107266192602,500
doubled,training,all,20,uniform,12,0.6000000000000001,0.65,8428,0.6325765543515356,0.6986236355007119,0.06604708114917635,0.6819851345944005,0.7140859455693677,500
doubled,training,all,20,uniform,13,0.65,0.7000000000000001,32531,0.6781879505690247,0.4824014017398789,-0.1957865488291458,0.46978445778208994,0.49553483402501364,500
doubled,training,all,20,uniform,14,0.7000000000000001,0.75,9832,0.7224578681151369,0.508746948738812,-0.21371091937632491,0.49523149120793286,0.5207622082761039,500
doubled,training,all,20,uniform,15,0.75,0.8,9118,0.7775842773286635,0.5773195876288659,-0.2002646896997976,0.5639367912781142,0.5907387010993355,500
doubled,training,all,20,uniform,16,0.8,0.8500000000000001,13041,0.824335836950293,0.5826240318993943,-0.24171180505089873,0.5704020216229589,0.5931816938647604,500
doubled,training,all,20,uniform,17,0.8500000000000001,0.9,17456,0.8770800777962697,0.7064046746104491,-0.17067540318582064,0.6950306431499212,0.7170361749530025,500
doubled,training,all,20,uniform,18,0.9,0.9500000000000001,51723,0.9190839749361375,0.8193646926899059,-0.09971928224623161,0.8113784592559664,0.8268508584481192,500
doubled,training,all,20,uniform,19,0.9500000000000001,1.0,472,0.9500106518301121,0.8516949152542372,-0.09831573657587489,0.8202547770700637,0.8811594053367451,500
doubled,training,all,50,uniform,2,0.04,0.06,3132,0.052213080121659323,0.1446360153256705,0.09242293520401118,0.1304392108744604,0.16166658764887223,500
doubled,training,all,50,uniform,3,0.06,0.08,16362,0.07163069100771506,0.13708593081530376,0.0654552398075887,0.12764499769597742,0.14575532196687763,500
doubled,training,all,50,uniform,4,0.08,0.1,32701,0.087864646448276,0.20540656249044373,0.11754191604216772,0.1963151931326164,0.21505275502883442,500
doubled,training,all,50,uniform,5,0.1,0.12,8259,0.10949550252958423,0.2746095168906647,0.16511401436108047,0.261137400474405,0.288449920603293,500
doubled,training,all,50,uniform,6,0.12,0.14,6091,0.1299395157783078,0.2863240847151535,0.1563845689368457,0.27061998180834934,0.3008933572002478,500
doubled,training,all,50,uniform,7,0.14,0.16,5630,0.14948004902432047,0.3719360568383659,0.22245600781404543,0.3561291634716281,0.3898825602722513,500
doubled,training,all,50,uniform,8,0.16,0.18,3653,0.16980452334921414,0.37092800437996165,0.2011234810307475,0.35119840043525574,0.3901295052293846,500
doubled,training,all,50,uniform,9,0.18,0.2,6864,0.1863159916259366,0.45265151515151514,0.26633552352557854,0.4383996866997833,0.4679050305372985,500
doubled,training,all,50,uniform,10,0.2,0.22,4435,0.20904452029483925,0.42841037204058624,0.219365851745747,0.4101934523809524,0.4474475442455056,500
doubled,training,all,50,uniform,11,0.22,0.24,3182,0.23042851156980393,0.40320553111250784,0.1727770195427039,0.3863487179292211,0.42371191646098116,500
doubled,training,all,50,uniform,12,0.24,0.26,2938,0.24983722320296414,0.4530292716133424,0.20319204841037825,0.432328780963654,0.47587859349665224,500
doubled,training,all,50,uniform,13,0.26,0.28,3700,0.27017221024237487,0.49135135135135133,0.22117914110897646,0.4746854884479622,0.5096231010368941,500
doubled,training,all,50,uniform,14,0.28,0.3,4695,0.2902632351479012,0.5009584664536741,0.21069523130577295,0.4848819752473712,0.5193697782701354,500
doubled,training,all,50,uniform,15,0.3,0.32,16546,0.3140033343759972,0.5951891695878158,0.28118583521181856,0.5820017007794178,0.6101203092568451,500
doubled,training,all,50,uniform,16,0.32,0.34,12976,0.32633064579581766,0.5043927250308261,0.17806207923500844,0.48306775690318304,0.5258631060792234,500
doubled,training,all,50,uniform,17,0.34,0.36,6149,0.35016163093212205,0.19369003089933323,-0.15647160003278882,0.17811523963076514,0.20930608728293068,500
doubled,training,all,50,uniform,18,0.36,0.38,3648,0.3689648302228086,0.31414473684210525,-0.05482009338070337,0.29534214049357144,0.3354473153789419,500
doubled,training,all,50,uniform,19,0.38,0.4,1640,0.38806059773055807,0.3951219512195122,0.007061353488954147,0.36776894946534694,0.4231080819841152,500
doubled,training,all,50,uniform,20,0.4,0.42,741,0.409236723446192,0.4493927125506073,0.04015598910441531,0.41246341120940133,0.48779321131035336,500
doubled,training,all,50,uniform,21,0.42,0.44,833,0.429295976953232,0.48619447779111646,0.05689850083788445,0.44732530154199196,0.5231968230806645,500
doubled,training,all,50,uniform,22,0.44,0.46,335,0.4490702404108832,0.44477611940298506,-0.004294121007898166,0.3812307692307692,0.5014433503676928,500
doubled,training,all,50,uniform,23,0.46,0.48,766,0.4741471695040862,0.4751958224543081,0.0010486529502218844,0.43316253762184986,0.5201415107458472,500
doubled,training,all,50,uniform,24,0.48,0.5,1541,0.48882822379502017,0.4406229720960415,-0.04820525169897866,0.41377820939696636,0.47078063152396576,500
doubled,training,all,50,uniform,25,0.5,0.52,1541,0.5111717762049799,0.5593770279039585,0.0482052516989786,0.5292193684760342,0.5862217906030337,500
doubled,training,all,50,uniform,26,0.52,0.54,766,0.5258528304959138,0.5248041775456919,-0.00104865295022194,0.4798584892541527,0.5668374623781501,500
doubled,training,all,50,uniform,27,0.54,0.56,335,0.5509297595891168,0.5552238805970149,0.004294121007898055,0.4985566496323071,0.6187692307692307,500
doubled,training,all,50,uniform,28,0.56,0.58,833,0.570704023046768,0.5138055222088835,-0.0568985008378845,0.47680317691933544,0.552674698458008,500
doubled,training,all,50,uniform,29,0.58,0.6,741,0.590763276553808,0.5506072874493927,-0.04015598910441531,0.5122067886896466,0.5875365887905987,500
doubled,training,all,50,uniform,30,0.6,0.62,1640,0.6119394022694419,0.6048780487804878,-0.007061353488954092,0.5768919180158848,0.632231050534653,500
doubled,training,all,50,uniform,31,0.62,0.64,3648,0.6310351697771913,0.6858552631578947,0.05482009338070337,0.6645526846210581,0.7046578595064286,500
doubled,training,all,50,uniform,32,0.64,0.66,6149,0.649838369067878,0.8063099691006668,0.15647160003278882,0.7906939127170693,0.8218847603692349,500
doubled,training,all,50,uniform,33,0.66,0.68,12976,0.6736693542041822,0.49560727496917384,-0.17806207923500833,0.4741368939207766,0.516932243096817,500
doubled,training,all,50,uniform,34,0.68,0.7000000000000001,16546,0.6859966656240027,0.4048108304121842,-0.28118583521181856,0.38987969074315487,0.4179982992205822,500
doubled,training,all,50,uniform,35,0.7000000000000001,0.72,4695,0.7097367648520988,0.49904153354632586,-0.21069523130577295,0.4806302217298646,0.5151180247526288,500
doubled,training,all,50,uniform,36,0.72,0.74,3700,0.7298277897576251,0.5086486486486487,-0.2211791411089764,0.4903768989631058,0.5253145115520378,500
doubled,training,all,50,uniform,37,0.74,0.76,2938,0.7501627767970359,0.5469707283866576,-0.2031920484103783,0.5241214065033478,0.567671219036346,500
doubled,training,all,50,uniform,38,0.76,0.78,3182,0.7695714884301961,0.5967944688874921,-0.17277701954270397,0.5762880835390188,0.6136512820707789,500
doubled,training,all,50,uniform,39,0.78,0.8,4435,0.7909554797051608,0.5715896279594137,-0.21936585174574708,0.5525524557544944,0.5898065476190476,500
doubled,training,all,50,uniform,40,0.8,0.8200000000000001,6864,0.8136840083740634,0.5473484848484849,-0.26633552352557854,0.5320949694627015,0.5616003133002168,500
doubled,training,all,50,uniform,41,0.8200000000000001,0.84,3653,0.8301954766507859,0.6290719956200383,-0.2011234810307475,0.6098704947706154,0.6488015995647443,500
doubled,training,all,50,uniform,42,0.84,0.86,5630,0.8505199509756795,0.628063943161634,-0.2224560078140454,0.6101174397277487,0.6438708365283718,500
doubled,training,all,50,uniform,43,0.86,0.88,6091,0.8700604842216921,0.7136759152848465,-0.1563845689368456,0.6991066427997522,0.7293800181916507,500
doubled,training,all,50,uniform,44,0.88,0.9,8259,0.8905044974704157,0.7253904831093353,-0.16511401436108042,0.711550079396707,0.7388625995255951,500
doubled,training,all,50,uniform,45,0.9,0.92,32701,0.912135353551724,0.7945934375095562,-0.1175419160421678,0.7849472449711655,0.8036848068673835,500
doubled,training,all,50,uniform,46,0.92,0.9400000000000001,16362,0.9283693089922849,0.8629140691846963,-0.0654552398075886,0.8542446780331223,0.8723550023040225,500
doubled,training,all,50,uniform,47,0.9400000000000001,0.96,3132,0.9477869198783406,0.8553639846743295,-0.09242293520401113,0.8383334123511278,0.8695607891255396,500
doubled,training,all,100,uniform,4,0.04,0.05,494,0.04998982254288851,0.1862348178137652,0.1362449952708767,0.15501135747498482,0.21985224381216747,500
doubled,training,all,100,uniform,5,0.05,0.06,2638,0.05262941417924566,0.13684609552691432,0.08421668134766866,0.1222001285936187,0.15363997189041498,500
doubled,training,all,100,uniform,6,0.06,0.07,6365,0.06530057645880803,0.09033778476040849,0.025037208301600458,0.08020059505074754,0.1002614185721361,500
doubled,training,all,100,uniform,7,0.07,0.08,9997,0.07566101801619692,0.16685005501650496,0.09118903700030805,0.15423497756075813,0.17859861591924092,500
